0 137.111416 134.898703 0.986979 0.907236 -0.972298 0.801348 0.830728 0.925545 0.601789 0.766616 0.820108 0.997484 1.000000 1.000000 0.994763 1.000000 0.866864 0.985729 0.986447 -nan(ind) -nan(ind) 0.993721 
1 136.322261 134.454365 0.981299 0.913950 -1.000000 0.776251 0.866314 0.921262 0.484098 0.759638 0.751407 1.000000 1.000000 0.810585 0.996857 1.000000 0.850359 0.980448 0.978449 -nan(ind) -nan(ind) 0.992310 
2 137.076978 134.385494 0.986732 0.914271 -0.978786 0.772368 0.773894 0.919698 0.603133 0.784049 0.691851 0.989937 1.000000 0.626741 0.997181 1.000000 0.847811 0.984464 0.987164 -nan(ind) -nan(ind) 0.982784 
3 135.486042 134.200053 0.975279 0.883335 -0.914866 0.761922 0.742488 0.897010 0.795735 0.771128 0.587791 0.987421 1.000000 0.437326 0.998053 1.000000 0.840966 0.974428 0.974271 -nan(ind) -nan(ind) 0.989607 
9 136.603656 135.239738 0.983324 0.908009 -0.833044 0.820664 0.806860 0.910637 0.847492 0.809375 0.631589 0.989937 1.000000 0.309192 0.993151 1.000000 0.879614 0.981619 0.983711 -nan(ind) -nan(ind) 0.992837 
13 138.381095 137.364431 0.996119 0.973143 -0.872675 0.942106 0.898397 0.968808 0.871322 0.955535 0.768493 0.993711 1.000000 0.548747 0.983015 1.000000 0.960736 0.994461 0.995914 -nan(ind) -nan(ind) 0.993397 
15 138.893514 137.765730 0.999808 0.965398 -0.896058 0.965270 0.999579 0.985835 0.973423 0.928665 0.866895 0.983648 1.000000 0.169916 0.981082 1.000000 0.976400 0.998518 1.000000 -nan(ind) -nan(ind) 0.989032 
23 136.196330 138.128915 0.980392 0.953156 -0.950725 0.986301 0.940277 0.967340 0.885675 0.996875 0.920664 1.000000 1.000000 0.649025 0.979327 1.000000 0.990674 0.980073 0.979477 -nan(ind) -nan(ind) 0.990716 
24 136.601063 138.316894 0.983306 0.948599 -0.934640 0.997210 0.932203 0.955079 0.873655 1.000000 0.766665 0.997484 1.000000 0.454039 0.978416 1.000000 0.998099 0.985826 0.980299 -nan(ind) -nan(ind) 0.994351 
25 136.931426 138.049239 0.985684 0.946191 -0.858933 0.981681 0.939979 0.955442 0.896947 0.964863 0.802985 0.992453 1.000000 0.264624 0.979712 1.000000 0.987534 0.985603 0.979939 -nan(ind) -nan(ind) 0.992890 
26 136.304118 137.857662 0.981168 0.939245 -0.848142 0.970588 1.000000 0.949654 0.939028 0.941473 0.897548 0.988679 1.000000 0.075209 0.980638 1.000000 0.980004 0.982197 0.978332 -nan(ind) -nan(ind) 0.984989 
35 137.387978 136.192123 0.988970 0.929014 -0.912058 0.874859 0.833943 0.936018 0.871024 0.878824 0.651458 0.986164 1.000000 0.370474 0.988628 1.000000 0.915610 0.987906 0.988256 -nan(ind) -nan(ind) 0.989196 
37 136.810852 135.770878 0.984816 0.906086 -0.886737 0.850841 0.878070 0.923618 0.818599 0.810360 0.882207 0.988679 1.000000 0.994429 0.990632 1.000000 0.899617 0.983843 0.984523 -nan(ind) -nan(ind) 0.992769 
38 136.524879 135.425023 0.982757 0.900488 -0.908275 0.831177 0.915558 0.911352 0.804264 0.822861 0.853217 0.991195 1.000000 0.805014 0.992273 1.000000 0.886572 0.984568 0.981002 -nan(ind) -nan(ind) 0.986026 
